q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
98.559,98.515,0.0,0.0192,18.0,9,0,14,12,12,0.0,56,0,14,0.1509
98.787,98.744,0.0,0.0025,13.0,11,0,15,11,11,0.0,57,5825056,9,0.2868
98.88,0.0,0.0,0.0255,3.0,17,0,16,13,13,0.0,56,0,18,0.1509
99.235,0.0,0.0,0.0151,6.0,16,0,17,17,17,0.0,56,0,19,0.1509
99.268,0.0,0.0,0.0144,0.0,19,0,18,14,14,0.0,56,0,15,0.1509
99.811,0.0,0.0,0.0207,11.0,12,0,19,16,16,0.0,56,0,16,0.1509
99.943,0.0,0.0,0.0123,0.0,21,0,20,0,19,0.0,41,0,17,0.0397
106.887,106.088,107.338,0.0346,76.0,1,4,1,3,3,6.0,44,4989933,2,0.2868
106.873,106.391,107.678,0.0247,74.0,2,5,2,1,1,10.0,44,4979394,3,0.2868
106.812,106.037,107.815,0.0108,43.0,6,1,3,10,10,0.0,43,0,4,0.0303
106.96,106.298,107.992,0.031,57.0,4,2,4,18,18,0.0,42,0,1,0.0297
107.419,106.311,108.315,0.0134,49.0,5,0,5,2,2,8.0,44,4988777,7,0.2868
107.154,106.491,108.504,0.0377,23.0,8,0,6,4,4,5.0,44,4993872,9,0.2868
107.27,106.814,108.736,0.0192,19.0,9,0,7,8,8,1.0,44,5022170,10,0.2868
107.093,106.494,108.763,0.0094,58.0,3,1,8,6,6,3.0,44,4994431,5,0.2868
106.777,106.544,108.951,0.0026,4.0,17,0,9,7,7,2.0,44,4996129,6,0.2868
107.152,106.804,110.319,0.0288,13.0,12,0,10,5,5,4.0,44,4993970,8,0.2868
107.4,106.949,0.0,0.0174,26.0,7,0,11,16,16,0.0,43,0,14,0.1509
107.052,106.965,0.0,0.0025,13.0,11,0,12,0,20,0.0,13,0,18,0.0297
107.359,106.995,0.0,0.009,15.0,10,0,13,9,9,0.0,44,5046439,12,0.2868
107.132,107.018,0.0,0.0151,6.0,16,0,14,11,11,0.0,43,0,11,0.1509
107.503,107.429,0.0,0.0201,9.0,14,0,15,12,12,0.0,43,0,15,0.1509
108.153,0.0,0.0,0.0207,11.0,13,0,16,0,19,0.0,19,0,20,0.0303
108.211,0.0,0.0,0.0255,3.0,18,0,17,15,15,0.0,43,0,16,0.1509
108.226,0.0,0.0,0.0123,0.0,20,0,18,13,13,0.0,43,0,13,0.1509
108.268,0.0,0.0,0.0034,8.0,15,0,19,14,14,0.0,43,0,17,0.1509
108.447,0.0,0.0,0.0144,0.0,19,0,20,17,17,0.0,43,0,19,0.1509
95.464,95.837,97.555,0.0288,23.0,9,1,1,1,1,10.0,53,5207494,14,0.2868
